gene_id,gene_name,S231145,S231288,S231447,S231491,S231603,VN_0005,VN_0007,VN_0012,VN_0085,VN_0188,VN_0413,VN_0812,VN_0822
ENSG00000000003.14,TSPAN6,10,8,2,5,3,6,5,9,18,8,8,5,4
ENSG00000000005.5,TNMD,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419.12,DPM1,318,456,370.001,381,330.999,173.001,237,119,169,285,146,209,145
ENSG00000000457.13,SCYL3,526,903.999,634,854.001,801,478,473,253,589,296,387.001,530,519.999
ENSG00000000460.16,C1orf112,152,134.001,158.001,149.999,182,104,88,61.999,46,69,78,104,115
ENSG00000000938.12,FGR,8557,13833,12410.999,13736,13074,5985,7703,3178.001,5505.999,7013.001,6786,5678,5924.001
ENSG00000000971.15,CFH,132,229.001,83,56,165,201,111,31,82.999,41,42,72,59.001
ENSG00000001036.13,FUCA2,346,493,335,464,379,454,369,207,323,290,335,220,234
ENSG00000001084.10,GCLC,428.999,735.001,403.001,522,384,427,335,300.999,391.999,399,336,341.001,275
ENSG00000001167.14,NFYA,1082,1515,1299,1418,1236,884,1048,966,900,1363,1245,983,1014
ENSG00000001460.17,STPG1,38,52.001,53,48,51,27.001,22,16,12,19,8,20,18
ENSG00000001461.16,NIPAL3,1183,1892.999,813,1571.001,1466.999,839.001,584,421.999,957,507,436.001,837.001,555.999
ENSG00000001497.16,LAS1L,453,787.999,402,698,596,201,186.999,165.001,237,220,175,221,185
ENSG00000001561.6,ENPP4,707,684,534,518,358,613,188,403,612,464,428,427,290
ENSG00000001617.11,SEMA3F,0,4,0,0,3,0,0,1,0,0,0,0,0
ENSG00000001626.14,CFTR,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001629.9,ANKIB1,1193,1806,1034.999,1418.001,1209.999,1103,942,700,1105.999,879,879.001,867,726
ENSG00000001630.15,CYP51A1,338.981,461,255.468,360,297,245,210,193.884,412,342,325,208,170
ENSG00000001631.14,KRIT1,697.323,864.609,609.096,670.016,484.137,528.947,504.831,289.327,359.922,273.092,323.547,497.447,399.317
ENSG00000002016.16,RAD52,206.001,176.001,174.001,255.001,209,194.999,152,63,119.999,57,61,103,69
